position COMBINED_rate.cM.Mb Genetic_Map.cM
10001651 0.1331691072 14.840533547215
10003130 0.1820715762 14.840730504325
10004119 0.2206607859 14.840910573113
10004901 0.2398448387 14.841083129848
10005258 0.2639528517 14.841168754455
10006452 0.2187191149 14.84148391416
10007959 0.2196744991 14.841813523866
10008150 0.219466772 14.841855481696
10008417 0.2197062836 14.841914079324
10008890 0.2200052465 14.842018000396
10009003 0.2203763175 14.842042860989
10009198 0.220612193 14.842085834371
10009362 0.2208364957 14.84212201477
10009993 0.2216159437 14.842261362599
10010049 0.2227799294 14.842273773092
10010420 0.2240276566 14.842356424446
10011497 0.2258293084 14.842597702232
10013422 0.225816319 14.843032423651
10013930 0.2259132076 14.843147138341
10015239 0.225909387 14.843442858729
10016022 0.2260970063 14.843619745779
10016251 0.2263292673 14.843671521994
10017430 0.315100882 14.8439383642
10017722 0.9855498566 14.844030373658
10017739 1.7102261739 14.844047128005
10019760 1.7071688678 14.847503495103
10020945 1.7071688678 14.849526490211
10021552 1.7071592049 14.850562741714
10022070 1.6621343692 14.851447050182
10022137 1.6215577612 14.851558413185
10022174 1.5870722553 14.851618410822
10022392 1.5107531561 14.851964392573
10022463 1.3956536913 14.852071656048
10022634 0.3752046043 14.852310312829
10022654 0.3752046043 14.852317816921
10023651 0.2871084971 14.852691895911
10024068 0.1727687764 14.852811620155
10024436 0.1598534943 14.852875199064
10028131 0.1618394487 14.853465857726
10029252 0.1626224335 14.853647279748
10029551 0.1620528514 14.853695903855
10030163 0.1608313911 14.853795080201
10032280 0.1604982882 14.854135560255
10032455 0.1602848948 14.854163647456
10033083 0.1607860443 14.85426430637
10033212 0.1625831916 14.854285047769
10033474 0.1669351783 14.854327644566
10034044 0.1930733396 14.854422797617
10034180 0.2294685421 14.854449055592
10034570 0.3117896317 14.854538548323
10034599 0.4033089966 14.854547590222
10035205 0.5356994556 14.854791995474
10036068 0.1299304936 14.855254304104
10036515 0.0846558004 14.855312383035
10036687 0.0705491162 14.855326943833
10036798 0.0655706158 14.855334774785
10037284 0.0647766901 14.855366642104
10037755 0.0647818808 14.855397151925
10039003 0.0690537996 14.855477999712
10039178 2.2348136256 14.855490084127
10041893 2.7957345297 14.861557603121
10042724 2.8632641341 14.863880858515
10043268 5.3909557229 14.865438474204
10043331 10.6011414252 14.865778104414
10043933 10.5983603325 14.872159991552
10044224 10.5981643687 14.875244114409
10045209 10.5934756464 14.885683306312
10046186 15.1890285525 14.896033132019
10051232 15.1890285525 14.972676970095
10051659 14.7377834585 14.979162685287
10053367 6.274152644 15.004334819434
10053642 4.3432910068 15.006060211411
10053751 2.7839474949 15.006533630131
10054942 2.7317539617 15.009849311597
10056952 1.9726202323 15.01534013706
10062079 1.9774736151 15.025453760991
10062163 1.9803300276 15.025619868775
10062613 1.9831900043 15.026511017287
10063448 1.9947460587 15.028166980941
10064609 2.1554808267 15.030482881115
10065597 2.2065428772 15.032612496172
10066068 2.5183893909 15.033651777867
10066387 2.5530486525 15.034455144083
10066949 2.5538339469 15.035889957425
10068109 2.5733957077 15.038852404804
10070592 3.238853024 15.045242146346
10073864 6.3738980741 15.05583967344
10077383 6.374713357 15.078269420763
10079196 6.7982931268 15.089826776079
10083107 6.8329272283 15.116414900498
10085227 6.8599027931 15.130900706222
10087099 8.4221313816 15.143742444251
10087170 8.7362941122 15.144340415579
10087487 7.1055176301 15.147109820813
10089194 7.1055176301 15.159238939407
10092198 5.5682053033 15.180583914368
10093298 2.5613673104 15.186708940202
10093478 0.958050184 15.187169986317
10093633 0.6720993926 15.187318484096
10096418 0.6701053465 15.189190280904
10097677 0.6620247622 15.190033943536
10098330 0.6145956625 15.190466245705
10101554 0.6095811274 15.192447702121
10104329 0.6112967305 15.19413928975
10104585 0.6148739932 15.194295781713
10104606 0.6165637121 15.194308694066
10106220 0.62867324 15.195303827898
10106265 0.6398561338 15.195332118194
10107986 13.0956070972 15.1964333106
10112202 9.752301288 15.251644390122
10112338 3.1722245028 15.252970703097
10114374 2.2275568913 15.259429352184
10115697 2.2227087629 15.262376409952
10117058 0.8358594323 15.265401516578
10121711 0.7702918108 15.269290770516
10121897 0.7617336886 15.269434044793
10124605 0.8133670335 15.271496819622
10125402 0.2012186067 15.272145073148
10131019 0.132835279 15.273275318062
10132824 0.1111779717 15.27351508574
10134939 0.1103914906 15.27375022715
10135365 0.1107963022 15.273797253925
10136124 0.1136406754 15.273881348319
10136628 0.1147415338 15.273938623219
10136702 0.117876393 15.273947114093
10137361 0.1313833745 15.274024794636
10137385 0.1314025954 15.274027947837
10137523 0.1313288708 15.274046081395
10138370 0.2358679431 15.274157316948
10141500 0.7273199326 15.27489558361
10141775 1.1652340898 15.275095596592
10141887 1.193645278 15.27522610281
10142416 4.0954110658 15.275857541162
10142768 1.2164884058 15.277299125857
10143005 1.0316762903 15.277587433609
10143215 0.4804156483 15.27780408563
10143530 0.3809491766 15.277955416559
10144906 0.382109303 15.278479602626
10146552 0.3829848259 15.279108554539
10147276 0.3869323132 15.279385835553
10147299 0.3923707916 15.279394734996
10148081 0.4270830152 15.279701568955
10150783 0.4289843015 15.280855547262
10150788 0.4268476731 15.280857692184
10150977 0.4273113593 15.280938366394
10151031 0.4278735235 15.280961441208
10151272 0.4310396946 15.281064558727
10151547 0.4298722199 15.281183094643
10151632 36.5559028552 15.281219633781
10151812 36.556055149 15.287799696295
10152175 0.3917570575 15.301069544314
10153374 0.3782703494 15.301539261026
10154295 0.3497589046 15.301887648018
10154600 0.4304714887 15.301994324484
10154669 0.5445275406 15.302024027017
10155383 0.5447797196 15.302412819681
10157009 0.5180938757 15.303298631505
10157136 0.4910278406 15.303364429427
10157417 0.490804263 15.30350240825
10157810 0.4787415063 15.303695294326
10158153 0.463661018 15.303859502662
10159658 0.1855361396 15.304557312494
10160006 0.1477768879 15.304621879071
10161601 0.1946592041 15.304857583207
10161901 0.2478870351 15.304915980968
10162224 0.3428413182 15.304996048481
10162994 0.350052393 15.305260036296
10164322 0.4711995335 15.305724905873
10164535 0.8033506546 15.305825271374
10164727 0.9513651944 15.3059795147
10165009 1.2074370618 15.306247799685
10165403 4.91796556 15.306723529887
10166655 4.4282751336 15.312880822768
10166924 11.8356900947 15.314072028779
10168622 1.938788156 15.33416903056
10168701 1.1238919893 15.334322194824
10169131 1.1164982705 15.334805468379
10169688 1.1167411848 15.335427357916
10169704 1.1166488534 15.335445225775
10169746 1.1201945425 15.335492125027
10170039 1.1144121286 15.335820342028
10170737 1.1125762115 15.336598201694
10171065 1.1154277534 15.336963126691
10175742 1.4216756428 15.342179982294
10176781 14.0441450017 15.343657103286
10177031 15.8491376161 15.347168139537
10179983 19.947247799 15.39395479378
10180299 20.1431840883 15.400258124084
10180449 20.1907815789 15.403279601697
10180849 10.6093365367 15.411355914329
10182560 10.5871668068 15.429508489143
10182621 9.5383280529 15.430154306318
10182812 4.7892533488 15.431976126976
10183525 4.7442597304 15.435390864614
10183665 4.5962473616 15.436055060976
10184807 4.6053589149 15.441303975463
10185307 3.8137382795 15.443606654921
10186361 3.5997547788 15.447626335068
10187485 3.5583249501 15.451672459439
10190141 0.3501446948 15.461123370506
10192446 0.349675764 15.461930454028
10196538 0.3496278452 15.463361327254
10196586 0.3495294195 15.463378109391
10196647 0.3495585622 15.463399430686
10201780 0.8908360987 15.465193714786
10202343 4.5187049736 15.465695255509
10202748 2.5167715175 15.467525331023
10203188 2.2894501953 15.468632710491
10203395 1.0138521865 15.469106626681
10203527 0.3020451919 15.46924045517
10204812 0.2568870204 15.469628583242
10205581 0.2541043605 15.46982612936
10208328 0.2544213621 15.470524154039
10212331 0.2546474602 15.471542602751
10212393 0.2549386529 15.471558390894
10214631 0.2567888787 15.472128943599
10215417 0.2590526828 15.472330779658
10217107 0.4972286621 15.472768578692
10220734 0.5484212743 15.474572027049
10221501 0.4251322003 15.474992666166
10221536 0.4220349797 15.475007545793
10221969 0.4454020524 15.47519028694
10222416 0.1935881894 15.475389381657
10223859 0.177444466 15.475668729414
