chr position COMBINED_rate(cM/Mb) Genetic_Map(cM)
1 0 1 0
1 1000000000 1 1000
2 0 1 0
2 1000000000 1 1000
3 0 1 0
3 1000000000 1 1000
4 0 1 0
4 1000000000 1 1000
5 0 1 0
5 1000000000 1 1000
6 0 1 0
6 1000000000 1 1000
7 0 1 0
7 1000000000 1 1000
8 0 1 0
8 1000000000 1 1000
9 0 1 0
9 1000000000 1 1000
10 0 1 0
10 1000000000 1 1000
11 0 1 0
11 1000000000 1 1000
12 0 1 0
12 1000000000 1 1000
13 0 1 0
13 1000000000 1 1000
14 0 1 0
14 1000000000 1 1000
15 0 1 0
15 1000000000 1 1000
16 0 1 0
16 1000000000 1 1000
17 0 1 0
17 1000000000 1 1000
18 0 1 0
18 1000000000 1 1000
19 0 1 0
19 1000000000 1 1000
20 0 1 0
20 1000000000 1 1000
21 0 1 0
21 1000000000 1 1000
22 0 1 0
22 1000000000 1 1000
23 0 1 0
23 1000000000 1 1000
24 0 1 0
24 1000000000 1 1000
25 0 1 0
25 1000000000 1 1000
26 0 1 0
26 1000000000 1 1000
27 0 1 0
27 1000000000 1 1000
28 0 1 0
28 1000000000 1 1000
29 0 1 0
29 1000000000 1 1000
30 0 1 0
30 1000000000 1 1000
31 0 1 0
31 1000000000 1 1000
32 0 1 0
32 1000000000 1 1000
33 0 1 0
33 1000000000 1 1000
34 0 1 0
34 1000000000 1 1000
35 0 1 0
35 1000000000 1 1000
36 0 1 0
36 1000000000 1 1000
37 0 1 0
37 1000000000 1 1000
38 0 1 0
38 1000000000 1 1000
39 0 1 0
39 1000000000 1 1000
40 0 1 0
40 1000000000 1 1000
41 0 1 0
41 1000000000 1 1000
42 0 1 0
42 1000000000 1 1000
43 0 1 0
43 1000000000 1 1000
44 0 1 0
44 1000000000 1 1000
45 0 1 0
45 1000000000 1 1000
46 0 1 0
46 1000000000 1 1000
47 0 1 0
47 1000000000 1 1000
48 0 1 0
48 1000000000 1 1000
49 0 1 0
49 1000000000 1 1000
50 0 1 0
50 1000000000 1 1000
51 0 1 0
51 1000000000 1 1000
52 0 1 0
52 1000000000 1 1000
53 0 1 0
53 1000000000 1 1000
54 0 1 0
54 1000000000 1 1000
55 0 1 0
55 1000000000 1 1000
56 0 1 0
56 1000000000 1 1000
57 0 1 0
57 1000000000 1 1000
58 0 1 0
58 1000000000 1 1000
59 0 1 0
59 1000000000 1 1000
60 0 1 0
60 1000000000 1 1000
61 0 1 0
61 1000000000 1 1000
62 0 1 0
62 1000000000 1 1000
63 0 1 0
63 1000000000 1 1000
64 0 1 0
64 1000000000 1 1000
65 0 1 0
65 1000000000 1 1000
66 0 1 0
66 1000000000 1 1000
67 0 1 0
67 1000000000 1 1000
68 0 1 0
68 1000000000 1 1000
69 0 1 0
69 1000000000 1 1000
70 0 1 0
70 1000000000 1 1000
71 0 1 0
71 1000000000 1 1000
72 0 1 0
72 1000000000 1 1000
73 0 1 0
73 1000000000 1 1000
74 0 1 0
74 1000000000 1 1000
75 0 1 0
75 1000000000 1 1000
76 0 1 0
76 1000000000 1 1000
77 0 1 0
77 1000000000 1 1000
78 0 1 0
78 1000000000 1 1000
79 0 1 0
79 1000000000 1 1000
80 0 1 0
80 1000000000 1 1000
81 0 1 0
81 1000000000 1 1000
82 0 1 0
82 1000000000 1 1000
83 0 1 0
83 1000000000 1 1000
84 0 1 0
84 1000000000 1 1000
85 0 1 0
85 1000000000 1 1000
86 0 1 0
86 1000000000 1 1000
87 0 1 0
87 1000000000 1 1000
88 0 1 0
88 1000000000 1 1000
89 0 1 0
89 1000000000 1 1000
90 0 1 0
90 1000000000 1 1000
91 0 1 0
91 1000000000 1 1000
92 0 1 0
92 1000000000 1 1000
93 0 1 0
93 1000000000 1 1000
94 0 1 0
94 1000000000 1 1000
95 0 1 0
95 1000000000 1 1000
96 0 1 0
96 1000000000 1 1000
97 0 1 0
97 1000000000 1 1000
98 0 1 0
98 1000000000 1 1000
99 0 1 0
99 1000000000 1 1000
100 0 1 0
100 1000000000 1 1000
